ntee_code,description,irs_source,irs_revision
O01,Alliances & Advocacy,"Instructions for Form 1023, Appendix D",12/2024
O02,Management & Technical Assistance,"Instructions for Form 1023, Appendix D",12/2024
O03,Professional Societies & Associations,"Instructions for Form 1023, Appendix D",12/2024
O05,Research Institutes & Public Policy Analysis,"Instructions for Form 1023, Appendix D",12/2024
O11,Single Organization Support,"Instructions for Form 1023, Appendix D",12/2024
O12,Fundraising & Fund Distribution,"Instructions for Form 1023, Appendix D",12/2024
O19,Support N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
O20,Youth Centers & Clubs,"Instructions for Form 1023, Appendix D",12/2024
O21,Boys Clubs,"Instructions for Form 1023, Appendix D",12/2024
O22,Girls Clubs,"Instructions for Form 1023, Appendix D",12/2024
O23,Boys & Girls Clubs,"Instructions for Form 1023, Appendix D",12/2024
O30,Adult & Child - Matching Programs,"Instructions for Form 1023, Appendix D",12/2024
O31,Big Brothers & Big Sisters,"Instructions for Form 1023, Appendix D",12/2024
O40,Scouting,"Instructions for Form 1023, Appendix D",12/2024
O41,Boy Scouts of America,"Instructions for Form 1023, Appendix D",12/2024
O42,Girl Scouts of the U.S.A.,"Instructions for Form 1023, Appendix D",12/2024
O43,Camp Fire,"Instructions for Form 1023, Appendix D",12/2024
O50,Youth Development Programs,"Instructions for Form 1023, Appendix D",12/2024
O51,Youth Community Service Clubs,"Instructions for Form 1023, Appendix D",12/2024
O52,Youth Development - Agricultural,"Instructions for Form 1023, Appendix D",12/2024
O53,Youth Development - Business,"Instructions for Form 1023, Appendix D",12/2024
O54,Youth Development - Citizenship,"Instructions for Form 1023, Appendix D",12/2024
O55,Youth Development - Religious Leadership,"Instructions for Form 1023, Appendix D",12/2024
O99,Youth Development N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
P01,Alliances & Advocacy,"Instructions for Form 1023, Appendix D",12/2024
P02,Management & Technical Assistance,"Instructions for Form 1023, Appendix D",12/2024
P03,Professional Societies & Associations,"Instructions for Form 1023, Appendix D",12/2024
P05,Research Institutes & Public Policy Analysis,"Instructions for Form 1023, Appendix D",12/2024
P11,Single Organization Support,"Instructions for Form 1023, Appendix D",12/2024
P12,Fundraising & Fund Distribution,"Instructions for Form 1023, Appendix D",12/2024
P19,Support N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
P20,Human Service Organizations,"Instructions for Form 1023, Appendix D",12/2024
P21,American Red Cross,"Instructions for Form 1023, Appendix D",12/2024
P22,Urban League,"Instructions for Form 1023, Appendix D",12/2024
P24,Salvation Army,"Instructions for Form 1023, Appendix D",12/2024
P26,Volunteers of America,"Instructions for Form 1023, Appendix D",12/2024
P27,Young Men's or Women Associations,"Instructions for Form 1023, Appendix D",12/2024
P28,Neighborhood Centers,"Instructions for Form 1023, Appendix D",12/2024
P29,Thrift Shops,"Instructions for Form 1023, Appendix D",12/2024
P30,Children & Youth Services,"Instructions for Form 1023, Appendix D",12/2024
P31,Adoption,"Instructions for Form 1023, Appendix D",12/2024
P32,Foster Care,"Instructions for Form 1023, Appendix D",12/2024
P33,Child Day Care,"Instructions for Form 1023, Appendix D",12/2024
P40,Family Services,"Instructions for Form 1023, Appendix D",12/2024
P42,Single Parent Agencies,"Instructions for Form 1023, Appendix D",12/2024
P43,"Family Violence Shelters, Services","Instructions for Form 1023, Appendix D",12/2024
P44,In-Home Assistance,"Instructions for Form 1023, Appendix D",12/2024
P45,Family Services for Adolescent Parents,"Instructions for Form 1023, Appendix D",12/2024
P46,Family Counseling,"Instructions for Form 1023, Appendix D",12/2024
P47,Pregnancy Centers,"Instructions for Form 1023, Appendix D",12/2024
P50,Personal Social Services,"Instructions for Form 1023, Appendix D",12/2024
P51,Financial Counseling,"Instructions for Form 1023, Appendix D",12/2024
P52,Transportation Assistance,"Instructions for Form 1023, Appendix D",12/2024
P58,Gift Distribution,"Instructions for Form 1023, Appendix D",12/2024
P60,Emergency Assistance,"Instructions for Form 1023, Appendix D",12/2024
P61,Travelers' Aid,"Instructions for Form 1023, Appendix D",12/2024
P62,Victims' Services,"Instructions for Form 1023, Appendix D",12/2024
P70,Residential Care & Adult Day Programs,"Instructions for Form 1023, Appendix D",12/2024
P71,Adult Day Care,"Instructions for Form 1023, Appendix D",12/2024
P73,Group Homes,"Instructions for Form 1023, Appendix D",12/2024
P74,Hospices,"Instructions for Form 1023, Appendix D",12/2024
P75,Supportive Housing for Older Adults,"Instructions for Form 1023, Appendix D",12/2024
P76,Homes for Children & Adolescents,"Instructions for Form 1023, Appendix D",12/2024
P7A,"Residential Intellectual & Developmental Disability Facilities (Group Homes, Intermediate Care Facilities & Hospitals)","Instructions for Form 1023, Appendix D",12/2024
P80,Centers to Support the Independence of Specific Populations,"Instructions for Form 1023, Appendix D",12/2024
P81,Senior Centers,"Instructions for Form 1023, Appendix D",12/2024
P82,Developmentally Disabled Centers,"Instructions for Form 1023, Appendix D",12/2024
P83,Womens' Centers,"Instructions for Form 1023, Appendix D",12/2024
P84,Ethnic & Immigrant Centers,"Instructions for Form 1023, Appendix D",12/2024
P85,Homeless Centers,"Instructions for Form 1023, Appendix D",12/2024
P86,Blind & Visually Impaired Centers,"Instructions for Form 1023, Appendix D",12/2024
P87,Deaf & Hearing Impaired Centers,"Instructions for Form 1023, Appendix D",12/2024
P88,LGBT Centers,"Instructions for Form 1023, Appendix D",12/2024
P99,Human Services N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
Q01,Alliances & Advocacy,"Instructions for Form 1023, Appendix D",12/2024
Q02,Management & Technical Assistance,"Instructions for Form 1023, Appendix D",12/2024
Q03,Professional Societies & Associations,"Instructions for Form 1023, Appendix D",12/2024
Q05,Research Institutes & Public Policy Analysis,"Instructions for Form 1023, Appendix D",12/2024
Q11,Single Organization Support,"Instructions for Form 1023, Appendix D",12/2024
Q12,Fundraising & Fund Distribution,"Instructions for Form 1023, Appendix D",12/2024
Q19,Support N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
Q20,Promotion of International Understanding,"Instructions for Form 1023, Appendix D",12/2024
Q21,International Cultural Exchange,"Instructions for Form 1023, Appendix D",12/2024
Q22,International Academic Exchange,"Instructions for Form 1023, Appendix D",12/2024
Q23,International Exchange N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
Q30,International Development,"Instructions for Form 1023, Appendix D",12/2024
Q31,International Agricultural Development,"Instructions for Form 1023, Appendix D",12/2024
Q32,International Economic Development,"Instructions for Form 1023, Appendix D",12/2024
Q33,International Relief,"Instructions for Form 1023, Appendix D",12/2024
Q35,International Democracy & Civil Society Development,"Instructions for Form 1023, Appendix D",12/2024
Q40,International Peace & Security,"Instructions for Form 1023, Appendix D",12/2024
Q41,Arms Control & Peace,"Instructions for Form 1023, Appendix D",12/2024
Q42,United Nations Associations,"Instructions for Form 1023, Appendix D",12/2024
Q43,National Security,"Instructions for Form 1023, Appendix D",12/2024
Q50,"International Affairs, Foreign Policy & Globalization","Instructions for Form 1023, Appendix D",12/2024
Q51,International Economic & Trade Policy,"Instructions for Form 1023, Appendix D",12/2024
Q70,International Human Rights,"Instructions for Form 1023, Appendix D",12/2024
Q71,International Migration & Refugee Issues,"Instructions for Form 1023, Appendix D",12/2024
Q99,"International, Foreign Affairs & National Security N.E.C.","Instructions for Form 1023, Appendix D",12/2024
R01,Alliances & Advocacy Organizations,"Instructions for Form 1023, Appendix D",12/2024
R02,Management & Technical Assistance,"Instructions for Form 1023, Appendix D",12/2024
R03,Professional Societies & Associations,"Instructions for Form 1023, Appendix D",12/2024
R05,Research Institutes & Public Policy Analysis,"Instructions for Form 1023, Appendix D",12/2024
R11,Single Organization Support,"Instructions for Form 1023, Appendix D",12/2024
R12,Fundraising & Fund Distribution,"Instructions for Form 1023, Appendix D",12/2024
R19,Support N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
R20,Civil Rights,"Instructions for Form 1023, Appendix D",12/2024
R22,Minority Rights,"Instructions for Form 1023, Appendix D",12/2024
R23,Disabled Persons' Rights,"Instructions for Form 1023, Appendix D",12/2024
R24,Womens' Rights,"Instructions for Form 1023, Appendix D",12/2024
R25,Seniors' Rights,"Instructions for Form 1023, Appendix D",12/2024
R26,Lesbian & Gay Rights,"Instructions for Form 1023, Appendix D",12/2024
R28,Childrens' Rights,"Instructions for Form 1023, Appendix D",12/2024
R30,Intergroup & Race Relations,"Instructions for Form 1023, Appendix D",12/2024
R40,Voter Education & Registration,"Instructions for Form 1023, Appendix D",12/2024
R60,Civil Liberties,"Instructions for Form 1023, Appendix D",12/2024
R61,Reproductive Rights,"Instructions for Form 1023, Appendix D",12/2024
R62,Right to Life,"Instructions for Form 1023, Appendix D",12/2024
R63,"Censorship, Freedom of Speech & Press","Instructions for Form 1023, Appendix D",12/2024
R67,Right to Die & Euthanasia,"Instructions for Form 1023, Appendix D",12/2024
R99,"Civil Rights, Social Action & Advocacy N.E.C.","Instructions for Form 1023, Appendix D",12/2024
S01,Alliances & Advocacy,"Instructions for Form 1023, Appendix D",12/2024
S02,Management & Technical Assistance,"Instructions for Form 1023, Appendix D",12/2024
S03,Professional Societies & Associations,"Instructions for Form 1023, Appendix D",12/2024
S05,Research Institutes & Public Policy Analysis,"Instructions for Form 1023, Appendix D",12/2024
S11,Single Organization Support,"Instructions for Form 1023, Appendix D",12/2024
S12,Fund Raising & Fund Distribution,"Instructions for Form 1023, Appendix D",12/2024
S19,Support N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
S20,Community & Neighborhood Development,"Instructions for Form 1023, Appendix D",12/2024
S21,Community Coalitions,"Instructions for Form 1023, Appendix D",12/2024
S22,Neighborhood & Block Associations,"Instructions for Form 1023, Appendix D",12/2024
S30,Economic Development,"Instructions for Form 1023, Appendix D",12/2024
S31,Urban & Community Economic Development,"Instructions for Form 1023, Appendix D",12/2024
S32,Rural Economic Development,"Instructions for Form 1023, Appendix D",12/2024
S40,Business & Industry,"Instructions for Form 1023, Appendix D",12/2024
S41,Chambers of Commerce & Business Leagues,"Instructions for Form 1023, Appendix D",12/2024
S43,Small Business Development,"Instructions for Form 1023, Appendix D",12/2024
S46,Boards of Trade,"Instructions for Form 1023, Appendix D",12/2024
S47,Real Estate Associations,"Instructions for Form 1023, Appendix D",12/2024
S50,Nonprofit Management,"Instructions for Form 1023, Appendix D",12/2024
S80,Community Service Clubs,"Instructions for Form 1023, Appendix D",12/2024
S81,Womens' Service Clubs,"Instructions for Form 1023, Appendix D",12/2024
S82,Mens' Service Clubs,"Instructions for Form 1023, Appendix D",12/2024
S99,Community Improvement & Capacity Building N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
T01,Alliances & Advocacy,"Instructions for Form 1023, Appendix D",12/2024
T02,Management & Technical Assistance,"Instructions for Form 1023, Appendix D",12/2024
T03,Professional Societies & Associations,"Instructions for Form 1023, Appendix D",12/2024
T05,Research Institutes & Public Policy Analysis,"Instructions for Form 1023, Appendix D",12/2024
T11,Single Organization Support,"Instructions for Form 1023, Appendix D",12/2024
T12,Fundraising & Fund Distribution,"Instructions for Form 1023, Appendix D",12/2024
T19,Support N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
T20,Private Grantmaking Foundations,"Instructions for Form 1023, Appendix D",12/2024
T21,Corporate Foundations,"Instructions for Form 1023, Appendix D",12/2024
T22,Private Independent Foundations,"Instructions for Form 1023, Appendix D",12/2024
T23,Private Operating Foundations,"Instructions for Form 1023, Appendix D",12/2024
T30,Public Foundations,"Instructions for Form 1023, Appendix D",12/2024
T31,Community Foundations,"Instructions for Form 1023, Appendix D",12/2024
T40,Volunteerism Promotion,"Instructions for Form 1023, Appendix D",12/2024
T50,"Philanthropy, Charity & Volunteerism Promotion","Instructions for Form 1023, Appendix D",12/2024
T70,Federated Giving Programs,"Instructions for Form 1023, Appendix D",12/2024
T90,Named Trusts N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
T99,"Philanthropy, Voluntarism & Grantmaking Foundations N.E.C.","Instructions for Form 1023, Appendix D",12/2024
U01,Alliances & Advocacy,"Instructions for Form 1023, Appendix D",12/2024
U02,Management & Technical Assistance,"Instructions for Form 1023, Appendix D",12/2024
U03,Professional Societies & Associations,"Instructions for Form 1023, Appendix D",12/2024
U05,Research Institutes & Public Policy Analysis,"Instructions for Form 1023, Appendix D",12/2024
U11,Single Organization Support,"Instructions for Form 1023, Appendix D",12/2024
U12,Fundraising & Fund Distribution,"Instructions for Form 1023, Appendix D",12/2024
U19,Support N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
U20,General Science,"Instructions for Form 1023, Appendix D",12/2024
U21,Marine Science & Oceanography,"Instructions for Form 1023, Appendix D",12/2024
U30,Physical & Earth Sciences,"Instructions for Form 1023, Appendix D",12/2024
U31,Astronomy,"Instructions for Form 1023, Appendix D",12/2024
U33,Chemistry & Chemical Engineering,"Instructions for Form 1023, Appendix D",12/2024
U34,Mathematics,"Instructions for Form 1023, Appendix D",12/2024
U36,Geology,"Instructions for Form 1023, Appendix D",12/2024
U40,Engineering & Technology,"Instructions for Form 1023, Appendix D",12/2024
U41,Computer Science,"Instructions for Form 1023, Appendix D",12/2024
U42,Engineering,"Instructions for Form 1023, Appendix D",12/2024
U50,Biological & Life Sciences Research,"Instructions for Form 1023, Appendix D",12/2024
U99,Science & Technology N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
V01,Alliances & Advocacy,"Instructions for Form 1023, Appendix D",12/2024
V02,Management & Technical Assistance,"Instructions for Form 1023, Appendix D",12/2024
V03,Professional Societies & Associations,"Instructions for Form 1023, Appendix D",12/2024
V05,Research Institutes & Public Policy Analysis,"Instructions for Form 1023, Appendix D",12/2024
V11,Single Organization Support,"Instructions for Form 1023, Appendix D",12/2024
V12,Fund Raising & Fund Distribution,"Instructions for Form 1023, Appendix D",12/2024
V19,Support N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
V20,Social Science,"Instructions for Form 1023, Appendix D",12/2024
V21,Anthropology & Sociology,"Instructions for Form 1023, Appendix D",12/2024
V22,Economics,"Instructions for Form 1023, Appendix D",12/2024
V23,Behavioral Science,"Instructions for Form 1023, Appendix D",12/2024
V24,Political Science,"Instructions for Form 1023, Appendix D",12/2024
V25,Population Studies,"Instructions for Form 1023, Appendix D",12/2024
V26,Law & Jurisprudence,"Instructions for Form 1023, Appendix D",12/2024
V30,Interdisciplinary Research,"Instructions for Form 1023, Appendix D",12/2024
V31,Black Studies,"Instructions for Form 1023, Appendix D",12/2024
V32,Women's Study,"Instructions for Form 1023, Appendix D",12/2024
V33,Ethnic Studies,"Instructions for Form 1023, Appendix D",12/2024
V34,Urban Studies,"Instructions for Form 1023, Appendix D",12/2024
V35,International Studies,"Instructions for Form 1023, Appendix D",12/2024
V36,Gerontology,"Instructions for Form 1023, Appendix D",12/2024
V37,Labor Studies,"Instructions for Form 1023, Appendix D",12/2024
V99,Social Science N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
W01,Alliances & Advocacy,"Instructions for Form 1023, Appendix D",12/2024
W02,Management & Technical Assistance,"Instructions for Form 1023, Appendix D",12/2024
W03,Professional Societies & Associations,"Instructions for Form 1023, Appendix D",12/2024
W05,Research Institutes & Public Policy Analysis,"Instructions for Form 1023, Appendix D",12/2024
W11,Single Organization Support,"Instructions for Form 1023, Appendix D",12/2024
W12,Fundraising & Fund Distribution,"Instructions for Form 1023, Appendix D",12/2024
W19,Support N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
W20,Government & Public Administration,"Instructions for Form 1023, Appendix D",12/2024
W22,"Public Finance, Taxation & Monetary Policy","Instructions for Form 1023, Appendix D",12/2024
W24,Citizen Participation,"Instructions for Form 1023, Appendix D",12/2024
W30,Military & Veterans' Organizations,"Instructions for Form 1023, Appendix D",12/2024
W40,Public Transportation Systems,"Instructions for Form 1023, Appendix D",12/2024
W50,Telecommunications,"Instructions for Form 1023, Appendix D",12/2024
W60,Financial Institutions,"Instructions for Form 1023, Appendix D",12/2024
W61,Credit Unions,"Instructions for Form 1023, Appendix D",12/2024
W70,Leadership Development,"Instructions for Form 1023, Appendix D",12/2024
W80,Public Utilities,"Instructions for Form 1023, Appendix D",12/2024
W90,Consumer Protection,"Instructions for Form 1023, Appendix D",12/2024
W99,Public & Societal Benefit N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
X01,Alliances & Advocacy,"Instructions for Form 1023, Appendix D",12/2024
X02,Management & Technical Assistance,"Instructions for Form 1023, Appendix D",12/2024
X03,Professional Societies & Associations,"Instructions for Form 1023, Appendix D",12/2024
X05,Research Institutes & Public Policy Analysis,"Instructions for Form 1023, Appendix D",12/2024
X11,Single Organization Support,"Instructions for Form 1023, Appendix D",12/2024
X12,Fundraising & Fund Distribution,"Instructions for Form 1023, Appendix D",12/2024
X19,Support N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
X20,Christianity,"Instructions for Form 1023, Appendix D",12/2024
X21,Protestant,"Instructions for Form 1023, Appendix D",12/2024
X22,Roman Catholic,"Instructions for Form 1023, Appendix D",12/2024
X30,Judaism,"Instructions for Form 1023, Appendix D",12/2024
X40,Islam,"Instructions for Form 1023, Appendix D",12/2024
X50,Buddhism,"Instructions for Form 1023, Appendix D",12/2024
X70,Hinduism,"Instructions for Form 1023, Appendix D",12/2024
X80,Religious Media & Communications,"Instructions for Form 1023, Appendix D",12/2024
X81,Religious Film & Video,"Instructions for Form 1023, Appendix D",12/2024
X82,Religious Television,"Instructions for Form 1023, Appendix D",12/2024
X83,Religious Printing & Publishing,"Instructions for Form 1023, Appendix D",12/2024
X84,Religious Radio,"Instructions for Form 1023, Appendix D",12/2024
X90,Interfaith Coalitions,"Instructions for Form 1023, Appendix D",12/2024
X99,"Religion Related, N.E.C.","Instructions for Form 1023, Appendix D",12/2024
Y01,Alliances & Advocacy,"Instructions for Form 1023, Appendix D",12/2024
Y02,Management & Technical Assistance,"Instructions for Form 1023, Appendix D",12/2024
Y03,Professional Societies & Associations,"Instructions for Form 1023, Appendix D",12/2024
Y05,Research Institutes & Public Policy Analysis,"Instructions for Form 1023, Appendix D",12/2024
Y11,Single Organization Support,"Instructions for Form 1023, Appendix D",12/2024
Y12,Fundraising & Fund Distribution,"Instructions for Form 1023, Appendix D",12/2024
Y19,Support N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
Y20,Insurance Providers,"Instructions for Form 1023, Appendix D",12/2024
Y22,Local Benevolent Life Insurance Associations,"Instructions for Form 1023, Appendix D",12/2024
Y23,Mutual Insurance Companies & Associations,"Instructions for Form 1023, Appendix D",12/2024
Y24,Supplemental Unemployment Compensation,"Instructions for Form 1023, Appendix D",12/2024
Y25,State-Sponsored Workers' Compensation Reinsurance Organizations,"Instructions for Form 1023, Appendix D",12/2024
Y30,Pension & Retirement Funds,"Instructions for Form 1023, Appendix D",12/2024
Y33,Teachers' Retirement Fund Associations,"Instructions for Form 1023, Appendix D",12/2024
Y34,Employee-Funded Pension Trusts,"Instructions for Form 1023, Appendix D",12/2024
Y35,Multi-Employer Pension Plans,"Instructions for Form 1023, Appendix D",12/2024
Y40,Fraternal Societies,"Instructions for Form 1023, Appendix D",12/2024
Y41,Fraternal Beneficiary Societies,"Instructions for Form 1023, Appendix D",12/2024
Y42,Domestic Fraternal Societies,"Instructions for Form 1023, Appendix D",12/2024
Y43,Voluntary Employees Beneficiary Associations (Non-Government),"Instructions for Form 1023, Appendix D",12/2024
Y44,Voluntary Employees Beneficiary Associations (Government),"Instructions for Form 1023, Appendix D",12/2024
Y50,Cemeteries,"Instructions for Form 1023, Appendix D",12/2024
Y99,Mutual & Membership Benefit N.E.C.,"Instructions for Form 1023, Appendix D",12/2024
