activity_code_category,activity_code,activity_code_definition,activity_code_notes
Litigation And Legal Aid Activities,463,Providing bail,
Litigation And Legal Aid Activities,465,Plan under IRC section 120,
Legislative And Political Activities,480,"Propose, support, or oppose legislation",
Legislative And Political Activities,481,Voter information on issues or candidates,
Legislative And Political Activities,482,"Voter education (mechanics of registering, voting etc.)",
Legislative And Political Activities,483,"Support, oppose, or rate political candidates",
Legislative And Political Activities,484,Provide facilities or services for political campaign activities,
Legislative And Political Activities,509,Other legislative and political activities,
Advocacy,510,Firearms control,
Advocacy,511,Selective Service System,
Advocacy,512,National defense policy,
Advocacy,513,Weapons systems,
Advocacy,514,Government spending,
Advocacy,515,Taxes or tax exemption,
Advocacy,516,Separation of church and state,
Advocacy,517,Government aid to parochial schools,
Advocacy,518,U.S. foreign policy,
Advocacy,519,U.S. military involvement,
Advocacy,520,Pacifism and peace,
Advocacy,521,Economic-political system of U.S.,
Advocacy,522,Anti-communism,
Advocacy,523,Right to work,
Advocacy,524,Zoning or rezoning,
Advocacy,525,Location of highway or transportation system,
Advocacy,526,Rights of criminal defendants,
Advocacy,527,Capital punishment,
Advocacy,528,Stricter law enforcement,
Advocacy,529,Ecology or conservation,
Advocacy,530,Protection of consumer interests,
Advocacy,531,Medical care service,
Advocacy,532,Welfare systems,
Advocacy,533,Urban renewal,
Advocacy,534,Busing student to achieve racial balance,
Advocacy,535,Racial integration,
Advocacy,536,Use of intoxicating beverage,
Advocacy,537,Use of drugs or narcotics,
Advocacy,538,Use of tobacco,
Advocacy,539,Prohibition of erotica,
Advocacy,540,Sex education in public schools,
Advocacy,541,Population control,
Advocacy,542,Birth control methods,
Advocacy,543,Legalized abortion,
Advocacy,559,Other matters,
Other Social And Welfare Activities,560,Supplying money goods or services to the poor,
Other Social And Welfare Activities,561,Gifts or grants to individuals (other than scholarships),
Other Social And Welfare Activities,562,Other loans to individuals,
Other Social And Welfare Activities,563,Marriage counseling,
Other Social And Welfare Activities,564,Family planning,
Other Social And Welfare Activities,565,Credit counseling and assistance,
Other Social And Welfare Activities,566,"Job training, counseling, or assistance",
